Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
Group4	Party	Pty	1	*	ValueList<PartyAndCertificate4>	ProvisionallyRegistered
Group5	Party	Pty	1	*	ValueList<PartyAndCertificate7>	ProvisionallyRegistered
Group6	Party	Pty	1	*	ValueList<PartyAndCertificate6>	ProvisionallyRegistered
ISATransfer17	ProductTransfer	PdctTrf	1	*	ValueList<ISATransfer16>	ProvisionallyRegistered
ISATransfer20	ProductTransfer	PdctTrf	1	*	ValueList<ISATransfer18>	ProvisionallyRegistered
ISATransfer25	ProductTransfer	PdctTrf	1	*	ValueList<ISATransfer22>	ProvisionallyRegistered
ISATransfer9	ProductTransfer	PdctTrf	1	*	ValueList<ISATransfer8>	ProvisionallyRegistered
IncomeStatement2	ClearingMemberFee	ClrMmbFee	1	*	ValueList<ClearingMemberFee1>	ProvisionallyRegistered
IndividualOrderConfirmationStatusAndReason1	AmendmentRejected	AmdmntRjctd	1	10	ValueList<ConfirmationRejectedStatus1>	ProvisionallyRegistered
IndividualOrderConfirmationStatusAndReason1	ConfirmationRejected	ConfRjctd	1	10	ValueList<ConfirmationRejectedStatus1>	ProvisionallyRegistered
IndividualOrderStatusAndReason2	Rejected	Rjctd	1	10	ValueList<RejectedStatus6>	ProvisionallyRegistered
IndividualPerson10	Citizenship	Ctznsh	1	3	ValueList<CitizenshipInformation>	ProvisionallyRegistered
IndividualPerson10	PostalAddress	PstlAdr	1	5	ValueList<PostalAddress3>	ProvisionallyRegistered
IndividualPerson20	Citizenship	Ctznsh	1	3	ValueList<CitizenshipInformation>	ProvisionallyRegistered
IndividualPerson20	PostalAddress	PstlAdr	1	5	ValueList<PostalAddress3>	ProvisionallyRegistered
IndividualPerson22	Citizenship	Ctznsh	1	3	ValueList<CitizenshipInformation>	ProvisionallyRegistered
IndividualPerson22	PostalAddress	PstlAdr	1	5	ValueList<PostalAddress3>	ProvisionallyRegistered
IndividualPerson23	Citizenship	Ctznsh	1	3	ValueList<CitizenshipInformation>	ProvisionallyRegistered
IndividualPerson23	PostalAddress	PstlAdr	1	5	ValueList<PostalAddress3>	ProvisionallyRegistered
IndividualPerson27	PostalAddress	PstlAdr	1	10	ValueList<PostalAddress21>	ProvisionallyRegistered
IndividualPerson29	PostalAddress	PstlAdr	1	5	ValueList<PostalAddress21>	ProvisionallyRegistered
IndividualPerson34	PostalAddress	PstlAdr	1	10	ValueList<PostalAddress21>	ProvisionallyRegistered
IndividualPerson37	PostalAddress	PstlAdr	1	10	ValueList<PostalAddress21>	ProvisionallyRegistered
InitialMarginRequirement1	InitialMarginExposure	InitlMrgnXpsr	1	*	ValueList<InitialMarginExposure1>	ProvisionallyRegistered
InteroperabilityCCP1	AssetHolding	AsstHldg	1	*	ValueList<AssetHolding3>	ProvisionallyRegistered
InteroperabilityCCP1	GrossNotionalAmount	GrssNtnlAmt	1	*	ValueList<ActiveCurrencyAnd24Amount>	ProvisionallyRegistered
InteroperabilityCCP1	TotalInitialMargin	TtlInitlMrgn	1	*	ValueList<ActiveCurrencyAndAmount>	ProvisionallyRegistered
IntraBalanceCancellation5	Cancellation	Cxl	1	*	ValueList<IntraBalanceCancellation6>	ProvisionallyRegistered
IntraBalanceCancellation7	Cancellation	Cxl	1	*	ValueList<IntraBalanceCancellation8>	ProvisionallyRegistered
IntraBalanceModification5	Modification	Mod	1	*	ValueList<IntraBalanceModification6>	ProvisionallyRegistered
IntraBalanceModification7	Modification	Mod	1	*	ValueList<IntraBalanceModification8>	ProvisionallyRegistered
IntraBalanceMovements3	Movement	Mvmnt	1	*	ValueList<IntraBalanceMovement5>	ProvisionallyRegistered
IntraBalanceMovements4	Movement	Mvmnt	1	*	ValueList<IntraBalanceMovement7>	ProvisionallyRegistered
IntraBalancePending5	Movement	Mvmnt	1	*	ValueList<IntraBalancePending6>	ProvisionallyRegistered
IntraBalancePosting5	Movement	Mvmnt	1	*	ValueList<IntraBalancePosting6>	ProvisionallyRegistered
IntraPositionDetails17	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails5>	ProvisionallyRegistered
IntraPositionDetails20	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails7>	ProvisionallyRegistered
IntraPositionDetails28	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails9>	ProvisionallyRegistered
